episode;reward;steps
151;13199.127402461905;107
152;13206.590820627203;107
153;13199.127402461905;107
154;13325.859918530356;108
155;13275.173130239726;108
156;13199.127402461905;107
157;13121.050316904038;109
158;13199.127402461905;107
159;13199.127402461905;107
160;13199.127402461905;107
161;13325.859918530356;108
162;13199.127402461905;107
163;13149.269424170248;107
164;13179.153823030194;107
165;13190.8590953484;108
166;13199.127402461905;107
167;13199.127402461905;107
168;13311.164474360728;111
169;13026.987049414493;108
170;13315.489721337539;108
171;13247.198477126167;108
172;13199.127402461905;107
173;13199.127402461905;107
174;13053.410269577507;107
175;13199.127402461905;107
176;13199.66179849419;108
177;13199.127402461905;107
178;13199.127402461905;107
179;13247.060366890877;108
180;13303.01459982359;108
181;13080.428426256374;109
182;13269.38445108723;112
183;13199.127402461905;107
184;13279.854092798376;108
185;13250.96275213218;108
186;13145.152677563137;107
187;13078.318154362849;107
188;13199.127402461905;107
189;13199.127402461905;107
190;13199.127402461905;107
191;13199.127402461905;107
192;13199.127402461905;107
193;13053.107490250753;107
194;13199.127402461905;107
195;13199.127402461905;107
196;13146.316397905337;108
197;13190.8590953484;108
198;13204.132610729743;107
199;13199.127402461905;107
200;13199.260112407635;107
201;13207.748938626168;110
202;13247.208955374987;109
203;13199.127402461905;107
204;13194.004361870131;107
205;13199.127402461905;107
206;13244.35859346047;109
207;13284.099914832072;108
208;13199.127402461905;107
209;13129.469453783897;107
210;13199.127402461905;107
211;13061.90027200216;108
212;13337.8717696651;108
213;13138.676602382133;107
214;13199.127402461905;107
215;13199.127402461905;107
216;13199.127402461905;107
217;13324.966818201785;108
218;13149.470279508078;107
219;13025.994188156094;113
220;13199.127402461905;107
221;13199.127402461905;107
222;13199.127402461905;107
223;13185.573727828843;108
224;13214.588355090875;109
225;13199.127402461905;107
226;13224.519669366979;108
227;13199.127402461905;107
228;13199.127402461905;107
229;13199.127402461905;107
230;13199.127402461905;107
231;13199.260112407635;107
232;13179.457067949954;107
233;13178.825602741288;107
234;13199.127402461905;107
235;13170.14052096483;110
236;13178.544374747953;107
237;13178.482229539988;107
238;13220.368501828469;108
239;13199.127402461905;107
240;13199.127402461905;107
241;13199.127402461905;107
242;13199.127402461905;107
243;13179.457067949954;107
244;13179.247571414262;107
245;13190.601059786315;108
246;13199.127402461905;107
247;13199.127402461905;107
248;13199.127402461905;107
249;13177.71739943052;108
250;13217.830461320706;107
251;13096.43834768114;108
252;13199.127402461905;107
253;13199.127402461905;107
254;13265.86171330232;108
255;13199.127402461905;107
256;13199.127402461905;107
257;13220.259888562887;109
258;13199.127402461905;107
259;13170.542034247788;109
260;13199.127402461905;107
261;13199.127402461905;107
262;13101.272196857324;108
263;13342.341815697877;109
264;13199.127402461905;107
265;13199.127402461905;107
266;13179.121019124632;107
267;13199.127402461905;107
268;13179.32721625212;107
269;13199.127402461905;107
270;13059.563512931061;107
271;13199.127402461905;107
272;13199.127402461905;107
273;13284.283157425793;108
274;13199.127402461905;107
275;13199.127402461905;107
276;13199.127402461905;107
277;13199.127402461905;107
278;13034.72057962839;107
279;13098.03974608255;107
280;13199.127402461905;107
281;13199.127402461905;107
282;13090.332856373212;107
283;13199.127402461905;107
284;13234.00905026948;110
285;13233.562294635845;109
286;13199.127402461905;107
287;13199.127402461905;107
288;13195.902643711544;107
289;13332.171409570714;108
290;13337.335395262042;109
291;13199.127402461905;107
292;13199.127402461905;107
293;13177.641709261803;109
294;13199.127402461905;107
295;13199.127402461905;107
296;13199.127402461905;107
297;13204.132610729743;107
298;13199.127402461905;107
299;13074.846016791958;107
300;13169.723393790893;108
301;13199.127402461905;107
302;13199.127402461905;107
303;13250.376224949212;108
304;13137.749260657993;108
305;13199.127402461905;107
306;13199.127402461905;107
307;13199.127402461905;107
308;13115.527701713381;107
309;13199.127402461905;107
310;13347.746981940036;110
311;13199.127402461905;107
312;13179.121019124632;107
313;13199.127402461905;107
314;13040.906416841242;107
315;13199.127402461905;107
316;13184.503386381457;107
317;13199.127402461905;107
318;13199.127402461905;107
319;13199.127402461905;107
320;13199.127402461905;107
321;13183.82510785389;107
322;13199.127402461905;107
323;13199.127402461905;107
324;13131.027852986184;107
325;13199.127402461905;107
326;13183.7930450254;107
327;13199.127402461905;107
328;12986.648006628251;109
329;13361.550582728865;112
330;13090.332856373212;107
331;13259.739493453822;109
332;13199.127402461905;107
333;13145.211187092817;107
334;13071.574267802907;107
335;13238.400090527564;107
336;13287.201926861595;107
337;13095.148529579012;107
338;13040.935076067834;107
339;13199.127402461905;107
340;13199.127402461905;107
341;13199.127402461905;107
342;13199.127402461905;107
343;13199.127402461905;107
344;13105.399706205184;108
345;13104.352024269772;107
346;13394.623156581914;112
347;13155.187458506565;110
348;13172.6413152011;109
349;13461.281542357345;114
350;13197.040748877382;112
351;13520.183988741423;114
352;13293.9590088956;110
353;13445.07169750018;111
354;13429.268186334924;111
355;13429.268186334924;111
356;13429.268186334924;111
357;13411.898241949939;113
358;13319.16001339283;112
359;13554.424603783518;112
360;13374.814721712215;113
361;13261.922043578641;110
362;13188.385807818731;107
363;13134.578873453487;108
364;13231.294957145505;109
365;13228.728864308474;107
366;13188.385807818731;107
367;13188.385807818731;107
368;13188.385807818731;107
369;13226.653979139564;109
370;13200.522415649692;108
371;13115.04757898961;107
372;13168.214076571972;107
373;13130.49963503088;107
374;13273.493112908389;109
375;13148.246585581843;107
376;13188.385807818731;107
377;13188.385807818731;107
378;13055.894992659647;107
379;13110.597041688516;107
380;13188.385807818731;107
381;13145.956206531584;109
382;13168.388900024376;107
383;13188.385807818731;107
384;13187.720719232055;108
385;13157.79389599045;107
386;13263.252426412517;108
387;13188.385807818731;107
388;13188.385807818731;107
389;13188.385807818731;107
390;13188.385807818731;107
391;13188.385807818731;107
392;13147.875786705392;108
393;13188.385807818731;107
394;13188.385807818731;107
395;13188.385807818731;107
396;13188.385807818731;107
397;13188.385807818731;107
398;13069.536052208934;107
399;13273.32776237756;107
400;13188.385807818731;107
401;13360.989735260164;109
402;13188.385807818731;107
403;13188.385807818731;107
404;13168.340262707305;107
405;13188.385807818731;107
406;13094.918712518775;109
407;13188.385807818731;107
408;13188.385807818731;107
409;13188.385807818731;107
410;13179.234831807702;107
411;13188.385807818731;107
412;13188.385807818731;107
413;13364.688158287317;108
414;13260.280724331133;110
415;13188.385807818731;107
416;13188.385807818731;107
417;13188.385807818731;107
418;13266.125063201422;107
419;13188.385807818731;107
420;13188.385807818731;107
421;13278.652954244193;111
422;13110.45851648812;107
423;13188.385807818731;107
424;13180.974370594666;109
425;13139.066436373752;107
426;13411.665934416784;113
427;13188.385807818731;107
428;13086.525680159033;108
429;13188.385807818731;107
430;13188.385807818731;107
431;13188.385807818731;107
432;13204.185178519736;107
433;13105.237588019803;107
434;13198.890453221404;111
435;13218.449856443684;109
436;13188.385807818731;107
437;13188.385807818731;107
438;13188.385807818731;107
439;13134.578873453487;108
440;13093.810343496838;107
441;13293.331004889578;111
442;13188.385807818731;107
443;13188.385807818731;107
444;13276.962317097219;111
445;13368.776378448101;109
446;13188.385807818731;107
447;13209.880831976176;109
448;13203.49379282655;108
449;13188.385807818731;107
450;13188.385807818731;107
451;13162.923874543734;107
452;13146.627381254768;107
453;13188.385807818731;107
454;13178.097995025993;107
455;13188.385807818731;107
456;13194.550652884516;108
457;13368.992111184549;109
458;13188.385807818731;107
459;13248.285682199146;108
460;13151.545907269394;107
461;13188.385807818731;107
462;13167.6300279934;107
463;13277.655812660654;109
464;13192.046227620645;108
465;13038.60813096057;106
466;13188.385807818731;107
467;13188.385807818731;107
468;13117.598815893627;107
469;13168.556868513982;107
470;13226.000522752744;107
471;13262.598343544014;109
472;13188.385807818731;107
473;13222.797519432286;107
474;13168.37994680057;107
475;13262.665246221426;108
476;13023.474726374921;107
477;13064.185865666841;107
478;13188.385807818731;107
479;13188.385807818731;107
480;13188.385807818731;107
481;13188.385807818731;107
482;13188.385807818731;107
483;13240.511474013336;108
484;13165.999878498551;107
485;13208.071934023956;108
486;13244.57914242802;108
487;13188.385807818731;107
488;13151.783119005964;109
489;13188.385807818731;107
490;13271.128409870906;108
491;13045.961691967024;107
492;13188.385807818731;107
493;13188.385807818731;107
494;13266.44660726574;108
495;13188.385807818731;107
496;13326.33153376631;108
497;13253.932861961688;108
498;13188.385807818731;107
499;13262.598343544014;109
500;13188.385807818731;107
501;13188.385807818731;107
502;13188.385807818731;107
503;13188.385807818731;107
504;13188.385807818731;107
505;13110.45851648812;107
506;13253.932861961688;108
507;13188.385807818731;107
508;13188.385807818731;107
509;13188.385807818731;107
510;13023.474726374921;107
511;13164.671671001848;107
512;13483.56845321427;111
513;13121.296935076149;109
514;13188.385807818731;107
515;13188.385807818731;107
516;13188.385807818731;107
517;13380.285900863977;110
518;13347.011506387567;110
519;13341.06119870694;110
520;13513.227500807037;113
521;13478.087390444161;113
522;13419.224838372482;111
523;13479.326944268043;114
524;13388.204759808345;112
525;13366.822039178493;112
526;13432.081915527158;113
527;13441.888319595395;114
528;13231.618917938971;110
529;13498.885335893712;113
530;13360.861107296483;117
531;13509.48105091834;118
532;13275.418808134647;111
533;13365.187079749181;112
534;13321.962259416698;113
535;13463.463787242963;115
536;13443.295309285517;113
537;13437.324185948488;113
538;13413.857409431048;119
539;13495.112245064218;120
540;13505.460176023144;120
541;13590.090814059373;120
542;13281.410267515377;114
543;13631.010918132864;124
544;13590.814245046218;118
545;13511.697912156118;115
546;13401.872207703353;113
547;13299.240866473281;112
548;13287.824730856208;113
549;13497.614757581181;117
550;13470.289498255259;115
551;13572.945208100971;115
552;13110.974118602882;114
553;13040.07511536526;113
554;13103.221023642232;109
555;13025.091377727016;110
556;13437.907830574548;115
557;12939.505310529787;111
558;13412.842778704186;113
559;12985.347830625757;109
560;13094.335822627385;108
561;13228.276442465438;110
562;13355.547056379515;115
563;13209.635848524373;110
564;13491.369945109052;112
565;13171.204149810144;111
566;13062.29509482114;108
567;12980.380426761465;107
568;12508.672150922328;107
569;13452.862781229247;113
570;13243.298246498218;108
571;13145.744426173922;107
572;13311.512272080587;110
573;13067.898470838625;107
574;13171.903789740496;106
575;13274.4106583326;107
576;13204.670657528;108
577;13225.316059003351;107
578;13283.908459889355;109
579;13044.988677504414;107
580;13309.919392886994;107
581;13453.129906821596;109
582;13149.540827627708;107
583;13273.519209421458;107
584;13357.426903248743;112
585;13237.894919560684;110
586;13299.306553538612;113
587;13232.469821215318;109
588;13071.499844290493;109
589;13094.094442581654;106
590;13342.952249953432;108
591;13262.096729695506;107
592;13235.110209765839;107
593;13200.360243732419;107
594;13192.800707807442;109
595;13235.110209765839;107
596;13178.782602298192;107
597;13235.110209765839;107
598;13235.110209765839;107
599;13235.110209765839;107
600;13258.376896377571;108
601;13297.240866399869;107
602;13258.454305386897;108
603;13235.110209765839;107
604;13235.110209765839;107
605;13279.353354311743;108
606;13291.484026727923;108
607;13324.242874769603;108
608;13258.376896377571;108
609;13164.523092854488;106
610;13220.289215663819;108
611;13344.132991270517;108
612;13089.4557944376;106
613;13215.104152180817;107
614;13245.746462238403;107
615;13144.718656904557;108
616;13235.110209765839;107
617;13192.800707807442;109
618;13214.620729495511;107
619;13235.110209765839;107
620;13344.132991270517;108
621;13235.110209765839;107
622;13258.376896377571;108
623;13133.090291786313;106
624;13235.110209765839;107
625;13198.309712278402;108
626;13174.908120736918;107
627;13235.110209765839;107
628;13181.301258394511;107
629;13160.974227952182;107
630;13172.799652894308;107
631;13375.092255417952;109
632;13235.110209765839;107
633;13235.110209765839;107
634;13168.7301503069;107
635;13235.110209765839;107
636;13235.110209765839;107
637;13235.110209765839;107
638;13204.945433344967;109
639;13235.110209765839;107
640;13045.529784801156;110
641;13235.110209765839;107
642;13404.740685895273;111
643;13166.045732979255;107
644;13175.041825117612;106
645;13235.110209765839;107
646;13202.284062313356;107
647;13235.110209765839;107
648;13235.110209765839;107
649;13180.394787758793;107
650;13194.575723959188;107
651;13258.376896377571;108
652;13344.132991270517;108
653;13235.110209765839;107
654;13235.110209765839;107
655;13198.305499470263;109
656;13140.642122592442;107
657;13235.110209765839;107
658;13213.819786535661;106
659;13344.132991270517;108
660;13235.110209765839;107
661;13323.971837254558;108
662;13192.129532311186;109
663;13235.110209765839;107
664;13192.800707807442;109
665;13207.651651359814;107
666;13134.486491523154;107
667;13191.003443491545;107
668;13146.496910228747;107
669;13136.519020697155;107
670;13207.81747035189;107
671;13150.114516807525;107
672;13127.95404490457;106
673;13352.838876950313;108
674;13235.110209765839;107
675;13213.324803338297;107
676;13235.110209765839;107
677;13235.110209765839;107
678;13235.110209765839;107
679;13210.811665458708;107
680;13138.111679776886;106
681;13235.110209765839;107
682;13211.579706780261;107
683;13235.110209765839;107
684;13277.186172034144;108
685;13235.110209765839;107
686;13235.110209765839;107
687;13286.783039261703;108
688;13235.110209765839;107
689;13235.110209765839;107
690;13235.110209765839;107
691;13330.74179989443;108
692;13410.542623093954;108
693;13235.110209765839;107
694;13235.110209765839;107
695;13235.110209765839;107
696;13192.129532311186;109
697;13250.459862721962;108
698;13235.110209765839;107
699;13235.110209765839;107
700;13216.832847297577;106
701;13318.666428622044;108
702;13286.437225585985;108
703;13177.514418050829;107
704;13235.110209765839;107
705;13380.829413695852;109
706;13235.110209765839;107
707;13323.350240035057;108
708;13352.039512036676;108
709;13487.767136987064;112
710;13124.525893345743;108
711;13327.096844340425;111
712;13351.08224332259;111
713;13487.767136987064;112
714;13487.767136987064;112
715;13515.030636767755;113
716;13199.17792777497;107
717;13113.883478376287;108
718;13471.298669729309;112
719;13487.767136987064;112
720;13313.003671769642;109
721;13528.178645820635;111
722;13298.826536031691;108
723;13277.74051260771;107
724;13205.595046317852;107
725;13277.74051260771;107
726;13277.74051260771;107
727;13081.245332544604;106
728;13277.74051260771;107
729;13354.801488553594;108
730;13261.739587050917;108
731;13273.8014080041;107
732;13319.63823270147;107
733;13119.847037328105;106
734;13268.107358483505;108
735;13196.422464628638;107
736;13387.826885528511;111
737;13277.74051260771;107
738;13411.448613751509;110
739;13166.688095527208;107
740;13135.769625515262;108
741;13277.74051260771;107
742;13395.676018971319;110
743;13277.74051260771;107
744;13219.584437206562;107
745;13277.74051260771;107
746;13277.74051260771;107
747;13277.74051260771;107
748;13141.485371295918;106
749;13277.74051260771;107
750;13166.688095527208;107
751;13277.74051260771;107
752;13277.74051260771;107
753;13270.329075383643;109
754;13383.038270078912;109
755;13137.55958478584;106
756;13336.035251330946;107
757;13145.66487144769;106
758;13257.894760476469;107
759;13089.544188799106;107
760;13257.788992085461;107
761;13105.887713334752;106
762;13277.74051260771;107
763;13203.519613496539;107
764;13277.74051260771;107
765;13259.29559637975;107
766;13277.74051260771;107
767;13277.74051260771;107
768;13277.74051260771;107
769;13277.74051260771;107
770;13143.33392125333;106
771;13055.495858125809;106
772;13277.74051260771;107
773;13219.780362188283;107
774;13277.74051260771;107
775;13277.74051260771;107
776;13317.46429176256;108
777;13162.574566620457;108
778;13137.619831897755;106
779;13258.011111386691;107
780;13162.605368073273;106
781;13277.74051260771;107
782;13277.74051260771;107
783;13414.048088583553;110
784;13413.109399583574;108
785;13292.222840004428;108
786;13282.512318272311;107
787;13148.68820483673;106
788;13277.74051260771;107
789;13145.990133622494;108
790;13277.74051260771;107
791;13277.74051260771;107
792;13277.74051260771;107
793;13222.222178357057;107
794;13277.74051260771;107
795;13271.160926589224;107
796;13277.74051260771;107
797;13325.375069665286;109
798;13268.828274281577;107
799;13277.74051260771;107
800;13277.74051260771;107
801;13277.74051260771;107
802;13277.74051260771;107
803;13421.277758434262;111
804;13277.74051260771;107
805;13277.74051260771;107
806;13302.46205440143;108
807;13363.927559642627;108
808;13251.574105368221;107
809;13277.74051260771;107
810;13277.74051260771;107
811;13277.74051260771;107
812;13277.74051260771;107
813;13277.74051260771;107
814;13277.74051260771;107
815;13480.835250357863;110
816;13301.188144909942;107
817;13277.74051260771;107
818;13277.74051260771;107
819;13402.319884050828;109
820;13277.74051260771;107
821;13277.74051260771;107
822;13297.073432846812;107
823;13222.086464480779;107
824;13428.152248035125;108
825;13277.74051260771;107
826;13088.779102921919;107
827;13277.74051260771;107
828;13158.442657655954;107
829;13282.152492494697;107
830;13300.700487907494;107
831;13277.74051260771;107
832;13277.74051260771;107
833;13277.74051260771;107
834;13203.846477953788;107
835;13070.505131233762;106
836;13067.299439789304;106
837;13217.516548596008;106
838;13188.918313624261;107
839;13122.836879082515;107
840;13248.48395502747;107
841;13277.74051260771;107
842;13268.083302115814;107
843;13261.442713920127;108
844;13277.74051260771;107
845;13287.321093005945;108
846;13277.74051260771;107
847;13277.74051260771;107
848;13197.49259624805;107
849;13277.74051260771;107
850;13287.321093005945;108
851;13088.079452313936;108
852;13166.979858164637;106
853;13277.74051260771;107
854;13133.533012690812;108
855;13277.74051260771;107
856;13122.836879082515;107
857;13327.799396042608;108
858;13288.31347132777;109
859;13118.79423592004;106
860;13277.74051260771;107
861;13137.611303263982;106
862;13222.086464480779;107
863;13170.074382613622;106
864;13272.957679487132;107
865;13141.374756831166;106
866;13232.006299174604;107
867;13472.142561245637;111
868;13551.713923243073;112
869;13463.976272659827;111
870;13364.298494005723;111
871;13380.419415831246;111
872;13326.61801603441;110
873;13272.247056706696;112
874;13352.7537286559;112
875;13338.317067828135;112
876;13309.70881511041;110
877;13343.341224936023;111
878;13545.64073449723;113
879;13104.819495844078;114
880;13541.188668975174;114
881;13497.031636315138;116
882;13548.717359376291;117
883;13578.018084674477;114
884;13425.589123018868;112
885;13371.180807333156;112
886;13272.497401095397;113
887;13455.089234245552;114
888;13461.067264571144;121
889;13248.759414432157;114
890;13252.799010746648;113
891;13405.144377500643;114
892;13430.64952081628;114
893;13707.695532016;116
894;13362.531295365026;111
895;13236.324732560148;115
896;13451.65193125731;116
897;13384.206615884897;115
898;13061.18133283407;114
899;13407.091558592134;118
900;13391.027650917224;112
901;13345.006173586653;113
902;13052.447648511124;106
903;13046.962632323637;106
904;13234.292059351576;108
905;13285.496923326826;109
906;13136.234267034533;107
907;13207.923290509536;106
908;13060.21131617085;106
909;13228.083577479494;106
910;13207.923290509536;106
911;13188.111028208226;106
912;13173.47692611092;106
913;13207.923290509536;106
914;13144.708098666999;106
915;13220.786886458347;107
916;13207.923290509536;106
917;13207.923290509536;106
918;13190.302421976752;106
919;13207.923290509536;106
920;13207.923290509536;106
921;13207.923290509536;106
922;13207.923290509536;106
923;13207.923290509536;106
924;13227.175201502983;106
925;13260.183709388852;107
926;13160.000763117212;108
927;13207.923290509536;106
928;13108.641598308095;106
929;13207.923290509536;106
930;13268.467015018246;107
931;13210.186335168122;109
932;13207.923290509536;106
933;13157.758308186665;106
934;13207.923290509536;106
935;13136.093724902745;106
936;13114.232134137479;106
937;13207.923290509536;106
938;13207.923290509536;106
939;13207.923290509536;106
940;13207.923290509536;106
941;13207.923290509536;106
942;13141.325771759766;106
943;13210.721068293513;106
944;13192.401860779113;106
945;13207.923290509536;106
946;13207.923290509536;106
947;13173.114183493859;106
948;13207.923290509536;106
949;13207.923290509536;106
950;13207.923290509536;106
951;13207.923290509536;106
952;13214.682285761679;106
953;13207.923290509536;106
954;13192.440093254967;106
955;13207.923290509536;106
956;13144.198069911403;106
957;13140.184364700119;106
958;13187.802401028659;106
959;13207.923290509536;106
960;13173.889062461503;106
961;13207.923290509536;106
962;13207.923290509536;106
963;13109.427290423877;106
964;13207.923290509536;106
965;13207.923290509536;106
966;13172.152527630236;106
967;13207.923290509536;106
968;13207.923290509536;106
969;13207.923290509536;106
970;13207.923290509536;106
971;13111.596553756284;106
972;13109.514181474555;106
973;13117.559990345067;106
974;13047.319928615261;106
975;13230.18949883446;106
976;13160.260403659338;107
977;13136.8667256078;106
978;13205.809990626421;106
979;13300.09586692476;108
980;13207.923290509536;106
981;13163.672045347563;106
982;13144.58693906097;108
983;13272.50133785557;108
984;13159.988516329015;106
985;13207.923290509536;106
986;13263.021518986394;108
987;13207.923290509536;106
988;13116.266401031286;106
989;13207.923290509536;106
990;13156.411651744294;106
991;13192.390081865038;106
992;13207.923290509536;106
993;13207.923290509536;106
994;13207.923290509536;106
995;13207.923290509536;106
996;13263.275127146742;106
997;13136.093724902745;106
998;13248.952831259328;107
999;13207.923290509536;106
1000;13204.844083701744;107
1001;13178.519281838524;107
1002;13207.923290509536;106
1003;13242.760542954718;106
1004;13153.453133499192;106
1005;13142.417423506846;106
1006;13207.923290509536;106
1007;13207.923290509536;106
1008;13163.628275785723;111
1009;13207.923290509536;106
1010;13201.507559149319;106
1011;13147.467607186885;107
1012;13207.923290509536;106
1013;13192.401860779113;106
1014;13327.569752541973;108
1015;13147.361284729048;106
1016;13207.923290509536;106
1017;13207.923290509536;106
1018;13228.135452851244;106
1019;13153.453133499192;106
1020;13207.923290509536;106
1021;13207.923290509536;106
1022;13206.767274650996;110
1023;13058.914944299817;106
1024;13115.63672732156;106
1025;13207.923290509536;106
1026;13117.288502300575;106
1027;13245.901805896963;109
1028;13207.923290509536;106
1029;13122.34012649755;106
1030;13207.923290509536;106
1031;13125.238336755656;106
1032;13192.449625238427;106
1033;13207.923290509536;106
1034;13228.757253124653;108
1035;13207.923290509536;106
1036;13207.923290509536;106
1037;13117.183833138357;106
1038;13207.923290509536;106
1039;13126.025881635203;106
1040;13207.923290509536;106
1041;13116.341255896363;106
1042;13207.923290509536;106
1043;13207.923290509536;106
1044;13207.923290509536;106
1045;13188.445206826225;106
1046;13207.923290509536;106
1047;13207.923290509536;106
1048;13207.923290509536;106
1049;13207.923290509536;106
1050;13182.73881294784;108
1051;13252.577353940596;106
1052;13207.923290509536;106
1053;13136.479023073942;106
1054;13159.649180459586;106
1055;13207.923290509536;106
1056;13153.773738870297;106
1057;13190.773576391732;106
1058;13192.443676434163;106
1059;13207.923290509536;106
1060;13207.923290509536;106
1061;13207.923290509536;106
1062;13187.820000200292;106
1063;13207.923290509536;106
1064;13207.923290509536;106
1065;13207.923290509536;106
1066;13207.923290509536;106
1067;13207.923290509536;106
1068;13144.575041458571;107
1069;13207.923290509536;106
1070;13194.291791047768;107
1071;13159.988516329015;106
1072;13093.333097976947;106
1073;13286.02747438165;107
1074;13207.923290509536;106
1075;13207.923290509536;106
1076;13153.636221069954;108
1077;13207.923290509536;106
1078;13207.923290509536;106
1079;13255.92848156173;107
1080;13196.313641115146;107
1081;13207.923290509536;106
1082;13188.07616899063;106
1083;13278.975443892517;107
1084;13207.923290509536;106
1085;13049.501493675913;106
1086;13132.417070854159;106
1087;13116.898500343343;106
1088;13207.923290509536;106
1089;13207.923290509536;106
1090;13106.131782206297;106
1091;13159.988516329015;106
1092;13132.417070854159;106
1093;13212.7152007019;107
1094;13119.053595866251;106
1095;13359.867644003678;111
1096;13323.101481919592;111
1097;13363.645932037381;110
1098;13374.587538037631;109
1099;13458.76283594675;111
1100;13245.740889032262;109
1101;13427.313512402467;110
1102;13290.352199163113;108
1103;13192.44860939281;106
1104;13207.923290509536;106
1105;13177.215379746724;106
1106;13272.415961084638;107
1107;13277.344401254433;107
1108;13207.923290509536;106
1109;13085.98138421442;107
1110;13207.923290509536;106
1111;13207.923290509536;106
1112;13207.923290509536;106
1113;13105.118436417511;106
1114;13172.57265510377;106
1115;13184.140162426998;107
1116;13158.324341460886;106
1117;13095.031478506693;108
1118;13137.880710618949;106
1119;13207.923290509536;106
1120;13207.923290509536;106
1121;13207.923290509536;106
1122;13207.923290509536;106
1123;13285.030315487778;106
1124;13173.889062461503;106
1125;13183.509239581128;106
1126;13207.923290509536;106
1127;13282.893125434412;107
1128;13207.923290509536;106
1129;13139.021801596613;107
1130;13207.923290509536;106
1131;13188.065344705426;106
1132;13243.853194784742;107
1133;13152.900785544478;106
1134;13031.989989134918;106
1135;13207.923290509536;106
1136;13207.923290509536;106
1137;13207.923290509536;106
1138;13216.299966658864;107
1139;13207.923290509536;106
1140;13207.923290509536;106
1141;13207.923290509536;106
1142;13207.923290509536;106
1143;13147.361284729048;106
1144;13184.981315578698;108
1145;13142.417423506846;106
1146;13207.923290509536;106
1147;13207.923290509536;106
1148;13187.10937830741;108
1149;13242.239310528905;107
1150;13207.923290509536;106
1151;13187.807762266344;106
